beta.(Intercept),beta.veg1,alpha.(Intercept),alpha.sal,alpha.twg,delta.(Intercept),delta.sal,delta.fish,delta.turb
-0.4044543,1.553657,1.519686,-0.0378343,-0.00131735,1.03229,-0.0349199,-0.001411585,0.001478853
-0.4044543,1.553657,1.478972,-0.04106146,-0.002100652,0.9836945,-0.0484343,-0.001914841,0.00298181
-0.6707024,1.283681,1.068131,-0.01873371,-0.005379713,1.262694,-0.03200412,-0.001673403,0.0008584923
-0.731741,1.050864,1.654188,-0.03815767,3.722096e-05,1.206345,-0.04409105,-0.00166237,0.001900375
-1.636635,2.533102,1.512331,-0.04035188,-0.004998143,1.019913,-0.05269935,-0.001865092,0.00323238
-1.20609,2.05477,1.093856,-0.02493968,0.005254308,1.019913,-0.05269935,-0.001865092,0.00323238
-1.080064,1.959778,1.37522,-0.03003057,0.002372987,1.184053,-0.04764854,-0.001512555,0.00184938
-0.8195676,1.689919,1.2652,-0.03509969,-1.297278e-05,0.8164142,-0.03867625,-0.001602521,0.002380399
-0.638847,1.417841,1.26042,-0.03591833,0.002639966,0.8813152,-0.03924334,-0.001783361,0.002527198
-0.9099456,1.473283,1.497082,-0.03486625,-0.005522446,0.9047539,-0.03920097,-0.0008123284,0.00186663
-0.8651459,1.724668,1.34918,-0.0273357,-7.668441e-05,0.971736,-0.03662254,-0.001097027,0.001795021
-0.7644315,1.876177,1.1285,-0.0276598,-3.268734e-05,1.121882,-0.02907048,-0.001496603,0.001152135
-0.7644315,1.876177,1.1285,-0.0276598,-3.268734e-05,1.181155,-0.04800353,-0.001418655,0.002050312
-1.355334,2.233298,1.451044,-0.03976646,0.004368013,1.232493,-0.04457665,-0.001704917,0.001867723
-1.092978,1.930582,0.9474343,-0.02093867,0.006151573,1.119763,-0.03996597,-0.001371737,0.00153899
-1.092978,1.930582,1.060926,-0.02509379,0.003128329,1.088378,-0.04459702,-0.001452753,0.002119209
-0.1057659,0.793246,1.545968,-0.04595784,-8.062716e-05,1.188995,-0.03612079,-0.001439412,0.001202399
-0.1057659,0.793246,1.603499,-0.03789064,-0.005345953,1.007263,-0.04725474,-0.00182542,0.002784982
-0.1057659,0.793246,1.185378,-0.02878473,0.004024233,0.9592309,-0.03383584,-0.001826362,0.00258908
-0.1057659,0.793246,0.7693132,-0.02128063,-0.0005181242,1.133043,-0.03746009,-0.001193225,0.001263149
-0.7681232,0.9611327,1.22541,-0.03105859,-0.001947535,0.9837897,-0.04804268,-0.001398154,0.002732942
-0.5332336,0.8872119,1.416278,-0.02859914,-0.005698624,1.152142,-0.04643951,-0.001257878,0.001716004
